# name  peak_RA  peak_dec
PSZ2G283.91+73.87  187.5347233664628  11.75157039232847
PSZ2G284.59+70.84  186.8603536445181  8.815010496917974
PSZ2G295.34+23.34  183.8638009293309  -39.04056348903699
PSZ2G302.85-88.63  12.84492151628745  -28.51351115385494
PSZ2G314.26-55.35  359.6968203238625  -60.62015552472386
PSZ2G321.98-47.96  342.4881995481682  -64.42998802997433
PSZ2G322.77+59.52  202.7599961026745  -1.833419323632256
PSZ2G324.54-44.97  334.5012651566735  -65.18119779106756
PSZ2G336.60-55.43  341.6017447790666  -52.73377707105773
PSZ2G340.46-52.20  335.0352551600527  -52.46380455108292
PSZ2G342.51-50.97  332.3343061649832  -51.80609687108709
PSZ2G346.30-30.35  298.2565944392069  -52.03968798907345
PSZ2G346.36-77.71  2.483910434223177  -35.68145374111953
PSZ2G352.28-77.66  1.500044480467815  -34.72340151703331
PSZ2G356.53+28.66  239.5906087801454  -14.1669275016847
PSZ2G358.21-87.49  10.52561326991625  -28.53074262328806
PSZ2G358.94-70.57  352.8085628309603  -36.51144384292429
PSZ2G000.13+78.04  203.5331667979409  20.24100567916052
PSZ2G000.40-41.86  316.0793072849124  -41.34529314442565
PSZ2G002.82+39.23  235.0326755495554  -3.30635416812352
PSZ2G003.91-42.03  316.5298809786775  -38.77161374377415
PSZ2G003.93-59.41  338.6167944486502  -37.73118145981054
PSZ2G006.38+62.03  218.300984208153  12.46685094003534
PSZ2G014.09+38.38  240.8265458348681  3.279450432958976
PSZ2G018.32-28.50  303.7158500948172  -24.50632024407823
PSZ2G021.10+33.24  248.1953852078511  5.575375422010775
PSZ2G024.44+22.76  258.8008003746093  3.159968428600224
PSZ2G026.73-38.94  316.8493215616718  -21.17744190323396
PSZ2G028.89+60.13  225.0814510890609  21.36970554033454
PSZ2G033.97-76.61  357.9139121442064  -26.08416291244993
PSZ2G039.85-39.96  321.8039377531167  -12.16281861995805
PSZ2G041.45+29.10  259.4563087755668  19.6817539329805
PSZ2G045.13+67.78  218.0055091177858  29.54833595907913
PSZ2G047.71-59.47  342.1292949436243  -16.1078594457035
PSZ2G049.18+65.05  221.1322909378225  31.22692164189308
PSZ2G049.22+30.87  260.0415486794438  26.62526002346468
PSZ2G054.99+53.41  234.9244844635996  34.4159887103379
PSZ2G055.59+31.85  260.6138808664613  32.13251998166714
PSZ2G055.95-34.89  323.8201406397065  1.429468239204737
PSZ2G057.08-74.45  357.7611486506633  -19.94920389808723
PSZ2G057.73+51.58  237.1382905178747  36.09165993240874
PSZ2G059.81-39.09  329.0349115622107  1.392069522284885
PSZ2G067.17+67.46  216.5131099753932  37.82401483544542
PSZ2G067.52+34.75  259.3297980102978  42.44970129323332
PSZ2G070.08-31.79  328.9249587348252  12.52464206952419
PSZ2G073.97-27.82  328.4037092966434  17.69475860619417
PSZ2G074.75-24.59  326.4805009741085  20.47105096535568
PSZ2G083.86+85.09  196.4607081116953  30.89461882464195
PSZ2G092.16-66.01  0.7966750030366371  -6.090548938696612
PSZ2G092.71+73.46  203.8253848898902  41.00173551172868
PSZ2G097.72+38.12  248.9510568100802  66.21425481116854
PSZ2G101.52-29.98  351.6101010041667  29.36322274785563
PSZ2G104.71-54.54  2.335251029163296  6.822669746528426
PSZ2G113.81+44.35  213.4828031466602  71.3000686086614
PSZ2G114.99+70.36  196.7069115329035  46.55832653251213
PSZ2G118.58+28.57  261.0586442009422  85.8866289929568
PSZ2G124.20-36.48  13.95994503652616  26.41044640872018
PSZ2G125.30-27.99  15.42493757067094  34.83661129229948
PSZ2G127.44-34.74  17.06836742716736  27.95475493590352
PSZ2G140.63+29.45  115.4355153393925  74.24380683810088
PSZ2G143.62+42.61  150.7808391593721  67.17373675406985
PSZ2G145.19+32.14  122.7973107203118  70.04518498512058
PSZ2G149.39-36.84  35.39363824917429  21.36015678624182
PSZ2G149.75+34.68  127.7476109088934  65.83960488936266
PSZ2G150.90-39.05  35.52387005544843  18.77584707104071
PSZ2G153.00-58.26  28.17580164023573  1.013409536054215
PSZ2G159.91-73.50  22.97687842275191  -13.61347727949903
PSZ2G161.94-48.17  37.86578390176238  6.983203638219651
PSZ2G162.49-71.98  24.48317800506637  -12.82025746844931
PSZ2G163.69+53.52  155.620975610973  50.11269047903727
PSZ2G166.09+43.38  139.4715541494504  51.7282959827747
PSZ2G166.62+42.13  137.4065151696649  51.55727718829375
PSZ2G175.69-85.98  16.38717401481292  -24.64082117113097
PSZ2G176.25-52.57  42.05073520708731  -2.276673158596335
PSZ2G180.60+76.65  179.3221779073287  33.61095256675011
PSZ2G182.59+55.83  154.2652017966317  39.04772708945952
PSZ2G187.53+21.92  113.0848486574695  31.63137569631899
PSZ2G189.53-25.10  69.75262698049046  7.26837793402257
PSZ2G195.75-24.32  73.53086068558582  2.908716978612615
PSZ2G200.95-28.16  72.5881973440899  -2.950678729521685
PSZ2G208.60-26.00  77.69807219355386  -8.02723092893016
PSZ2G208.80-30.67  73.52818618904598  -10.21457055202963
PSZ2G212.82-84.04  19.54682446906346  -26.9658861480657
PSZ2G214.61-22.70  83.1055034841778  -11.54304526164185
PSZ2G215.19-49.65  57.01308957522552  -21.75358329129636
PSZ2G215.61+22.61  124.2662020293201  7.869828285276466
PSZ2G218.81+35.51  137.3032525726927  10.97449500627356
PSZ2G219.88+22.83  126.2481473299004  4.440030528629386
PSZ2G220.11+22.91  126.4911385696844  4.246736564527449
PSZ2G222.99-65.70  40.3431492688646  -28.65512599232949
PSZ2G224.00+69.33  170.9912067343525  21.4822521250554
PSZ2G225.48+29.41  134.4654049473359  3.176861899687824
PSZ2G226.75+48.95  152.1999323434339  11.79015491671879
PSZ2G244.71+32.50  146.359078411368  -8.656410937144475
PSZ2G249.38+33.26  149.591930554154  -11.06393162667668
PSZ2G250.89-36.24  77.57028942170963  -45.32177009865177
PSZ2G253.13+57.49  168.5334051180492  4.351291682140283
PSZ2G253.48-33.72  81.45315833604978  -47.25256986432937
PSZ2G256.53-65.70  36.47188805347876  -41.91528129478446
PSZ2G257.32-22.19  99.31092042496104  -48.47193269714545
PSZ2G263.14-23.41  99.70222771855313  -53.97344967113381
PSZ2G263.68-22.55  101.370177839475  -54.22800694845347
PSZ2G280.17+47.83  177.4423055672717  -12.31560428552358
PSZ2G285.63+72.75  187.6970542137598  10.55297052394918
PSZ2G286.62-31.24  82.86905957362252  -75.18052940944483
PSZ2G287.96-32.99  74.94801373148366  -75.80787375956685
PSZ2G288.27+39.97  180.8149289925583  -21.53996565343527
PSZ2G289.13+72.19  188.6015958511456  9.788633648873137
PSZ2G304.65-31.66  355.0290017152051  -85.19786443368056
PSZ2G306.02+34.47  195.7754343086371  -28.34505281622666
PSZ2G309.49+37.31  198.6202260633604  -25.25902867527036
PSZ2G313.33+61.13  197.8731453250682  -1.341477576101095
PSZ2G315.56-37.04  328.9527721209182  -75.45121284580036
PSZ2G318.14-29.57  296.8101818025746  -76.39556899471533
PSZ2G322.63-49.15  343.515205167531  -63.24763425532163
PSZ2G340.94+35.07  224.8704915689335  -18.17923242281536
PSZ2G341.44-40.19  315.3077839662542  -55.68924177363295
PSZ2G342.33-34.93  305.8387768222913  -55.59638654896163
PSZ2G346.61+35.06  228.7611518330101  -15.38899121331472
PSZ2G347.17-27.36  293.7197087883418  -50.87561390875354
PSZ2G348.43-25.50  291.2400053986442  -49.44743622768166
PSZ2G350.12+45.29  224.0920523926269  -5.81558556733254
PSZ2G355.07+46.20  226.0311878250776  -2.804533475015575
PSZ2G357.43+69.50  209.9787427457257  14.2393907407973
PSZ2G358.98-67.26  348.9423699454023  -37.79829584553605
